"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2004","Austria","Total","Percentage of total population","Total","3.5",""
"2004","Austria","Total","Percentage of active population","Total","5.5",""
"2004","Poland","Total","Thousand persons","Total","3,209",""
"2004","Poland","Total","Percentage of total population","Total","11.1",""
"2004","Poland","Total","Percentage of active population","Total","19.1",""
"2004","Portugal","Total","Thousand persons","Total","413",""
"2004","Portugal","Total","Percentage of total population","Total","5.0",""
"2004","Portugal","Total","Percentage of active population","Total","7.8",""
"2004","Romania","Total","Thousand persons","Total","793",""
"2004","Romania","Total","Percentage of total population","Total","4.7",""
"2004","Romania","Total","Percentage of active population","Total","8.0",""
"2004","Slovenia","Total","Thousand persons","Total","63",""
"2004","Slovenia","Total","Percentage of total population","Total","4.0",""
"2004","Slovenia","Total","Percentage of active population","Total","6.3",""
"2004","Slovakia","Total","Thousand persons","Total","480",""
"2004","Slovakia","Total","Percentage of total population","Total","11.6",""
"2004","Slovakia","Total","Percentage of active population","Total","18.4",""
"2004","Finland","Total","Thousand persons","Total","229",""
"2004","Finland","Total","Percentage of total population","Total","5.8",""
"2004","Finland","Total","Percentage of active population","Total","8.8",""
"2004","Sweden","Total","Thousand persons","Total","346",""
"2004","Sweden","Total","Percentage of total population","Total","5.4",""
"2004","Sweden","Total","Percentage of active population","Total","7.4",""
"2004","United Kingdom","Total","Thousand persons","Total","1,397",""
"2004","United Kingdom","Total","Percentage of total population","Total","3.2",""
"2004","United Kingdom","Total","Percentage of active population","Total","4.7",""
"2004","Iceland","Total","Thousand persons","Total","4,936",""
"2004","Iceland","Total","Percentage of total population","Total","2.4",""
"2004","Iceland","Total","Percentage of active population","Total","3.1",""
"2004","Norway","Total","Thousand persons","Total","102",""
"2004","Norway","Total","Percentage of total population","Total","3.0",""
"2004","Norway","Total","Percentage of active population","Total","4.3",""
"2004","Turkey","Total","Thousand persons","Total",":",""
"2004","Turkey","Total","Percentage of total population","Total",":",""
"2004","Turkey","Total","Percentage of active population","Total",":",""
"2005","Belgium","Total","Thousand persons","Total","390",""
"2005","Belgium","Total","Percentage of total population","Total","5.0",""
"2005","Belgium","Total","Percentage of active population","Total","8.5",""
"2005","Bulgaria","Total","Thousand persons","Total","338",""
"2005","Bulgaria","Total","Percentage of total population","Total","5.5",""
"2005","Bulgaria","Total","Percentage of active population","Total","10.1",""
"2005","Czech Republic","Total","Thousand persons","Total","410",""
"2005","Czech Republic","Total","Percentage of total population","Total","5.1",""
"2005","Czech Republic","Total","Percentage of active population","Total","7.9",""
"2005","Denmark","Total","Thousand persons","Total","140",""
"2005","Denmark","Total","Percentage of total population","Total","3.5",""
"2005","Denmark","Total","Percentage of active population","Total","4.8",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","4,506","i"
"2005","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","7.2","i"
"2005","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","11.2","i"
"2005","Estonia","Total","Thousand persons","Total","54",""
"2005","Estonia","Total","Percentage of total population","Total","5.1",""
"2005","Estonia","Total","Percentage of active population","Total","8.0",""
